"","cold_1","cold_2","cold_3","hot_1","hot_2","con_1","con_2","con_3","con_4"
"CG14667",222.220867298473,199.181057180308,245.595477814877,282.323036963586,190.60465876051,277.583864996226,354.80325101963,275.670670193087,224.554959078245
"CG14668",9.69691057302427,56.8061498817486,92.0008456576364,94.367644951917,0.774815686018334,0,0,746.719582367683,798.229326232854
"CG14669",652.925311916968,539.298891282423,309.528268865099,100.216879143152,90.653435264145,34.6979831245282,142.826081011545,396.109312510456,507.57894523724
"CG14671",122.827533924974,43.1439113025939,174.645673112801,145.061007942616,259.563254816142,239.030550413417,271.434181107914,109.732985222491,161.001668773081
"CG14676",276.361951331192,241.605903294526,493.529960180372,366.552009317364,116.22235290275,0,0.646271859780747,837.717667674139,971.941653066968
"CG1468",12201.9458043889,8078.6973914107,9127.57542469449,1795.714896709,14136.5121914045,323.847842495597,164.15305238431,1035.77232392937,355.051048504847
"CG14683",1321.20406557456,1678.2981496709,2275.85142775119,1621.01776886413,1666.62854062544,1102.62479706834,1333.25884672768,513.871540554105,512.663208461653
"CG14684",9.69691057302427,0.719065188376565,18.712036404943,19.4974473041151,0,19.2766572914046,17.4493402140802,128.467885138526,107.616904916744
"CG14687",1010.0948513567,964.266417612973,954.313856652093,1008.40797456883,405.228603787588,269.873202079664,304.394045956732,677.132811250982,682.138649275422
"CG14688",431.51252049958,447.258547170223,737.56610162817,985.790935696059,2095.87643067959,971.54352748679,1136.14592949455,687.838468345859,619.432736174327
"CG14689",170.50401090901,406.990896621136,178.544014030498,297.141096914714,100.726039182383,0,0.646271859780747,1509.49765037768,2138.78006306977
"CG14691",20.2018970271339,58.9633454468783,0,101.776674927481,23.24447058055,3.85533145828091,3.23135929890373,679.809225524701,944.825582536765
"CG14692",1.61615176217071,2.87626075350626,66.2717956008398,15.9879067893744,24.7941019525867,0,19.3881557934224,21.4113141897544,63.5532903051636
"CG14693",0.808075881085356,16.538499332661,5.45767728477504,15.2080088972098,1.54963137203667,0,0.646271859780747,294.405570109122,271.160705302031
"CG14694",45.2522493407799,4.31439113025939,24.9493818732573,56.1526482358514,27.1185490106417,57.8299718742137,84.6616136312778,345.257441309789,295.734644220028
"CG14695",0,17.2575645210376,0,8.57887681381064,255.68917638605,3.85533145828091,19.3881557934224,16.0584856423158,60.1637814888882
"CG14696",67.0702981300846,166.104058514986,26.5087182403359,25.7366304414319,169.684635238015,57.8299718742137,45.885302044433,176.643342065473,173.712326834114
"CG14701",25.8584281947314,33.7960638536985,6.23734546831433,76.4299934321311,151.863874459593,154.213258331237,104.696041284481,58.8811140218245,75.4165711621274
"CG14708",24.2422764325607,0,17.1527000378644,33.5356093630779,86.7793568340534,0,0,176.643342065473,243.197257567759
"CG14710",151.110189762962,208.528904629204,138.001268486455,320.927982625734,139.4668234833,258.307207704821,216.50107302655,77.6160139378595,86.4324748150224
"CG14711",679.591815992785,1067.8118047392,403.868119073353,816.163144150257,363.388556742598,906.002892696015,1163.28934760534,446.961183711122,455.041558584971
"CG14712",1925.6448246264,3152.38178584286,2130.83314561288,3492.38276111309,1106.43679963418,2903.06458808553,1984.05460952689,2853.05761578477,2299.78173184285
"CG14715",239.998536682351,200.619187557062,488.851951079136,504.983885176581,884.839513432937,1048.65015665241,1371.38888645474,342.58102703607,249.128897996241
"CG14717",56.5653116759749,48.8964328096064,194.917045884823,131.412794829736,5.42370980212834,0,2.58508743912299,1070.56570948772,1626.11685460812
"CG14718",865.449268642417,974.333330250245,2037.27296358817,1566.81486535869,392.056737125277,3.85533145828091,2.58508743912299,11021.4739791761,14633.3569370649
"CG14721",203.63512203351,236.57244697589,430.376837313689,499.524599931428,543.92061158487,397.099140202934,559.671430570127,1498.7919932828,2215.04401143597
"CG14722",1303.42639619068,1567.56211066091,1850.15259953874,1614.77858572681,1808.41981116679,1330.08935310692,1218.86872754649,623.604525776596,702.475702173075
"CG14731",3.23230352434142,0,14.0340273037073,21.0572430884443,24.7941019525867,3.85533145828091,2.58508743912299,152.555613602,115.243299753363
"CG14736",40.4037940542678,10.7859778256485,31.966395525111,73.700350809555,10.8474196042567,0,0.646271859780747,714.602611083052,773.655387314858
"CG14739",256.968130185143,155.318080689338,299.392582479088,411.006189170746,61.2104391954484,0,2.58508743912299,1715.58154945407,2287.91845098589
"CG14740",101.00948513567,206.371709064074,159.831977625555,284.66273064008,46.4889411611,0,1.29254371956149,4365.23168043617,5800.29696185126
"CG14741",527.673550348738,392.609592853604,396.07143723796,360.312826180047,763.968266414077,373.967151453249,517.017487824597,1648.67119261109,2111.66399253957
"CG14742",208.483577320022,95.6356700540831,152.814963973701,124.393713800254,5.42370980212834,19.2766572914046,31.6673211292566,163.261270696877,142.359370283566
"CG14743",17.7776693838778,0,0,1.16984683824691,6.19852548814667,0,1.29254371956149,96.3509138538946,151.680519528324
"CG14744",12.9292140973657,0,40.5427455440432,38.2149967160656,52.6874666492467,0,1.29254371956149,211.436727623824,267.771196485756
"CG14749",673.127208944102,770.118816751301,1259.16411641596,961.224152092874,388.182658695185,1380.20866206457,1255.70622355399,612.898868681718,681.291272071353
"CG14752",151.918265644047,61.8396062003846,46.7800910123575,1.16984683824691,0,0,6.46271859780747,24.0877284634737,21.1844301017212
"CG14756",97.7771816113281,0.719065188376565,0,0.389948946082302,1.54963137203667,46.263977499371,138.30217799308,2.67641427371929,10.1685264488262
"CG14757",269.897344282509,288.345140539002,639.327910502219,675.001625668464,170.459450924033,385.533145828091,232.011597661288,2004.63429101575,1905.75133195084
"CG14759",5.65653116759749,0,22.6103773226395,27.2964262257611,6.19852548814667,0,0,200.731070528947,221.165450261969
"CG14760",0,0,0,0,0,0,0,16.0584856423158,38.1319741830981
"CG14762",6155.92206210824,5168.64057405075,5230.01417518157,2806.46256495433,1879.70285428048,778.776954572745,878.929729301816,2518.50583156986,1894.73542829794
"CG14763",35.5553387677557,48.8964328096064,162.950650359712,112.305296471703,102.27567055442,161.923921247798,127.315556376807,695.867711167017,724.507509478865
"CG14764",1343.02211436386,1880.35546760472,2383.44563707962,3091.12529559441,1599.21957594184,2093.44498184654,1960.78882257479,936.744995801753,821.955887946782
"CG14767",6730.46401355993,5021.95127562193,3942.7820041582,3464.69638594125,4116.59573981541,3207.63577328972,2600.59796375773,3680.06962636403,3839.46611163595
"CG14770",11629.8280805804,6273.84376858553,3742.4072809886,7.40902997556373,51.13783527721,0,0,0,3.38950881627539
"CG14777",256.160054304058,390.452397288475,147.357286688926,356.803285665306,618.30291744263,474.205769368553,657.9047532568,789.542210747192,1125.31692700343
