"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CG31089",16.6910486627427,-0.883408788382699,0.977524394003214,-0.903720453220521,0.366143650885419,0.831407928525684
"CG31091",24.9143443355873,-0.896418911302781,1.05156046998726,-0.852465394894162,0.393955837785161,0.831407928525684
"CG31093",6.160841924041,-0.86596306372587,1.05600766841938,-0.820034825146712,0.412196254589088,0.831407928525684
"CG31097",18.7120704252657,-1.44184201695453,0.977765074158591,-1.47463031259865,0.140311960764794,0.831407928525684
"CG31098",110.198039834495,0.545597985650393,0.34395435395665,1.58625113877511,0.112682351387313,0.831407928525684
"CG31099",17.8472159819557,-1.29491704531491,0.82817969886909,-1.56357013711296,0.117918552519314,0.831407928525684
"CG31100",84.9146218740027,-0.0853231327354533,0.371826105114014,-0.229470528190296,0.818503224615817,0.932523493796718
"CG31102",36.4212074457685,-0.61938976572415,0.615273792951198,-1.00668966047328,0.314083932365973,0.831407928525684
"CG31103",31.3595782169102,-0.657851196232586,0.712174339344021,-0.923722127981371,0.355631008132752,0.831407928525684
"CG31104",13.2208873738238,-1.28050149826574,1.07728472985483,-1.18863793645185,0.234582172790864,0.831407928525684
"CG31106",22.204913933762,-1.00589673412247,0.817919643344847,-1.22982342129467,0.218763235607775,0.831407928525684
"CG31108",239.372392779207,-0.101330706451275,0.226776955303475,-0.446829821467854,0.654997937680199,0.86382544196024
"CG31109",68.3167743790116,-0.384595489022082,0.413781593681245,-0.929464951788921,0.352648180559189,0.831407928525684
"CG31111",29.9114046437309,-0.160035546729536,0.428297241932433,-0.373655328732616,0.708660764253558,0.885905723525441
"CG31115",11.3276965829947,-1.29725054065923,1.18330977173654,-1.09628989098559,0.272951931903317,0.831407928525684
"CG31121",70.4151704091026,-0.559937317357639,0.609904801203764,-0.918073306280742,0.358580488822472,0.831407928525684
"CG31122",700.99777499661,0.240544764814558,0.257061143380386,0.935749221571817,0.349402321347917,0.831407928525684
"CG31125",78.7785404368436,0.164220338107924,0.298183433927004,0.550735954526989,0.581814693604852,0.846206651018268
"CG31126",101.743929768663,-0.0140491427265293,0.346313098183739,-0.0405677486650403,0.967640495817424,0.988649065919808
"CG31128",12.53875232513,-1.28039722008381,1.10423953787314,-1.15952850461229,0.246240824542855,0.831407928525684
"CG31131",0,NA,NA,NA,NA,NA
"CG31139",14.0835617369344,-0.659715755999921,1.06117728892653,-0.621682882666362,0.534150409309865,0.833863286817488
